Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Coolpad,8718,Coolpad8718,983MB,Phone,Mediatek MT6735M,ARM Mali T720 (450 MHz),480x854,240,armeabi;armeabi-v7a,22,3.0
Coolpad,Coolpad8720L,Coolpad8720L,937MB,Phone,Marvell PXA1088,未知,720x1280,320,armeabi;armeabi-v7a,18,2.0
Coolpad,8737A,Coolpad8737A,2008MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,23,3.0
Coolpad,9976A,Coolpad9976A,2033MB,Phone,Mediatek MT6592,ARM Mali 450 (700 MHz),1200x1920,480,armeabi;armeabi-v7a,19,2.0
Coolpad,Coolpad 5370_U00,CoolpadE2,2007MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,25,3.0
Coolpad,CPT1,CoolpadT1,903MB,Phone,Qualcomm MSM8926,Qualcomm Adreno 305 (400 MHz),720x1280,320,armeabi;armeabi-v7a,19,3.0
Coolpad,1803,Coolpad_1803,901MB,Phone,Spreadtrum SC9850K,ARM Mali T820 (600 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
Coolpad,Cool 10A,Coolpad_2041,1982MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Coolpad,Cool 10A,Coolpad_2041_S0,2929MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Coolpad,Cool 10A,Coolpad_2041_U0,1982MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),720x1600,320,armeabi;armeabi-v7a,30,3.2
Coolpad,Cool 12A,Coolpad_2042_U0,3990MB,Phone,Spreadtrum T310,Imagination Tech PowerVR GE8300 (800 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Coolpad,E561,E561,1984MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,armeabi;armeabi-v7a,22,3.0
Coolpad,SK3-U00,E561_EU,1962MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,Coolpad GRA-I0,GRA,2989MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,25,3.0
Coolpad,K2L_S00,K2L_S00,975MB,Phone,Mediatek MT6735P,ARM Mali T720 (600 MHz),720x1280,320,armeabi;armeabi-v7a,23,3.0
Coolpad,Karbonn Titanium S5 Plus,Karbonn,1019MB,Phone,Mediatek MT6582M,ARM Mali 400 (422 MHz),540x960,240,armeabi;armeabi-v7a,17,2.0
Coolpad,MEDION P5001,P5001,1019MB,Phone,Mediatek MT6582M,ARM Mali 400 (422 MHz),540x960,240,armeabi;armeabi-v7a,17,2.0
Coolpad,R108,R108,3022MB,Phone,Qualcomm MSM8929,Qualcomm Adreno 405 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,ivvi V1M-S,V1M-S,2022MB,Phone,Mediatek MT6735P,ARM Mali T720 (600 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,3.1
Coolpad,ivvi i1-S,V4701_FR1,1995MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,3.1
Coolpad,VodafoneSmart4,VodafoneSmart4,440MB,Phone,Qualcomm MSM8x10,Qualcomm Adreno 302 (400 MHz),480x854,213,armeabi;armeabi-v7a,19,3.0
Coolpad,Coolpad 8865U,VodafoneSmart4turbo,909MB,Phone,Qualcomm MSM8926,Qualcomm Adreno 305 (400 MHz),480x854,213,armeabi;armeabi-v7a,19,3.0
Coolpad,Y72-921,Y72-921,3023MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,Y72-921,Y72_921,3023MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,Y90,Y90,1970MB,Phone,Qualcomm MSM8939,Qualcomm Adreno 405 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,Y91-921,Y91,3022MB,Phone,Qualcomm MSM8929,Qualcomm Adreno 405 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,Coolpad 3706AS,apollo,2767MB,Phone,Qualcomm SM6125,Qualcomm Adreno 610 (950 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Coolpad,Coolpad COR-I0,clover,3766MB,Phone,Qualcomm MSM8940,Qualcomm Adreno 505 (450 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Coolpad,Cool C1,cool_c1,2977MB,Phone,Qualcomm MSM8976,Qualcomm Adreno 510 (600 MHz),1080x1920,420,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Coolpad,1939,coolpad_Cool_X,4015MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2244,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Coolpad,coolpad N7 Plus,coolpad_N7_Plus,3990MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1560,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Coolpad,3320A,cp3320a,945MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x800,240,armeabi;armeabi-v7a,22,3.0
Coolpad,3622A,cp3622a,937MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,22,3.0
Coolpad,3623A,cp3623a,937MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,22,3.0
Coolpad,3632A-mpcs,cp3632a,926MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),480x854,240,armeabi;armeabi-v7a,25,3.0
Coolpad,3636a,cp3636a,1969MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,24,3.0
Coolpad,cp3648A,cp3648a,1911MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Coolpad,cp3648AT,cp3648at,1911MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Coolpad,Vodafone Smart 4G,cp8860u,882MB,Phone,Qualcomm MSM8930,Qualcomm Adreno 305 (400 MHz),540x960,240,armeabi;armeabi-v7a,17,2.0
Coolpad,Vodafone Smart 4G,cp8860u,882MB,Phone,Qualcomm MSM8930,Qualcomm Adreno 305 (400 MHz),540x960,240,armeabi;armeabi-v7a,17,2.0
Coolpad,STARADDICT III,cp8861u,882MB,Phone,Qualcomm MSM8930,Qualcomm Adreno 305 (400 MHz),540x960,240,armeabi;armeabi-v7a,17,2.0
Coolpad,R106,cpy90_g00,1970MB,Phone,Qualcomm MSM8939,Qualcomm Adreno 405 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,22,3.0
Coolpad,ivvi i3-01,i3-01,3758MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Coolpad,i3-M1,i3-M1,3006MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Coolpad,Cool 20,k69v1_64,3993MB,Phone,Mediatek MT6768,ARM Mali G52 (820 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Coolpad,3705A,lithium,2959MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Coolpad,Coolpad 3310A,ventura,954MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,27,3.0
Coolpad,Coolpad VCR-I0,victor,6177MB,Phone,Qualcomm MSM8976SG,Qualcomm Adreno 510 (600 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Coosea - WindRiver,LIVE 7S,LIVE_7S,3990MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Coppel,ROCKET,ROCKET,484MB,Phone,Mediatek MT6570,ARM Mali 400 (525 MHz),480x800,240,armeabi;armeabi-v7a,23,2.0
Coppernic,C-One,C-One_v2,1963MB,Phone,Qualcomm MSM8956,Qualcomm Adreno 510 (600 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Coppernic,C-five,C-five,2008MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),720x1280,320,armeabi;armeabi-v7a,23,3.0
Core Innovations,CRTB7001,CRTB7001,996MB,Tablet,Rockchip RK3326,ARM Mali G31 (500 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Core Innovations,CTB1016G,CTB1016G,996MB,Tablet,Rockchip RK3326,ARM Mali G31 (500 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Covia,CP-K19,CP-K19,1964MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x960,240,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Covia,CP-L45s,CP-L45s,2018MB,Phone,Mediatek MT6735,ARM Mali T720 (450 MHz),480x854,240,armeabi;armeabi-v7a,24,3.1
Covia,CP-W5s,CP-W5s,2890MB,Phone,Mediatek MT6750,ARM Mali T860 (520 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,26,3.2
Covia,CP-J55aW,CP_J55aW,3989MB,Phone,Mediatek MT6750,ARM Mali T860 (520 MHz),1080x1920,420,arm64-v8a;armeabi;armeabi-v7a,24,3.0
Covia,g06+,g06,2002MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),480x800,240,arm64-v8a;armeabi;armeabi-v7a,24,3.1
Covia,CP-J55a,x5090_rh_j9_covia,3009MB,Phone,Mediatek MT6750T,ARM Mali T860 (650 MHz),1080x1920,430,arm64-v8a;armeabi;armeabi-v7a,23,3.0
Creato,DVT101B,mdt1005_mk_32,2091MB,Tablet,Mediatek MT8167A,Imagination Tech PowerVR GE8300 (600 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Crelander,A101,A101,6069MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Crelander,T118,T118,3991MB,Tablet,Spreadtrum T310,Imagination Tech PowerVR GE8300 (800 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Crelander,Z103,Z103,1999MB,Tablet,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
Crema,CREMA0810T,crema0810t,2076MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),768x1024,160,arm64-v8a;armeabi;armeabi-v7a,24,3.1
Cricket,Cricket® Dream 5G,EC211001,3877MB,Phone,Mediatek MT6833V/MNZA,2 核 ARM Mali G57 (780 MHz),720x1640,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cricket,Cricket® Icon 3,EC211002,2936MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),720x1600,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cricket,Cricket® Splendor,EC211003,2936MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),720x1600,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cricket,Cricket® Innovate 5G,EC211004,3877MB,Phone,Mediatek MT6833V/MNZA,2 核 ARM Mali G57 (780 MHz),720x1640,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cricket,DEMK4115,SL100EA,2964MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,31,3.2
Cricket,U304AC,U304AC,934MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),480x960,213,armeabi;armeabi-v7a,28,3.2
Cricket,U325AC,U325AC,895MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),720x1440,320,armeabi;armeabi-v7a,29,3.2
Cricket,U705AC,U705AC,2929MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1600,300,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cricket,Cricket® Ovation 2,ZON,2949MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1640,280,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cricket,Cricket® Influence,v350c,2805MB,Phone,Qualcomm SM4250,Qualcomm Adreno 610 (600 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Croatian Telecom,KSTB6044,KSTB6044,1863MB,TV,Amlogic AMLS905D,3 核 ARM Mali 450 (750 MHz),1080x1920,320,armeabi;armeabi-v7a,24,2.0
Crosscall,CORE-M4,CORE-M4,1952MB,Phone,Qualcomm QM215,Qualcomm Adreno 306 (465 MHz),480x960,240,arm64-v8a;armeabi;armeabi-v7a,28,3.0
Crosscall,CORE-M4 GO,CORE-M4-GO,911MB,Phone,Qualcomm QM215,Qualcomm Adreno 306 (465 MHz),480x960,240,armeabi;armeabi-v7a,28,3.0
Crosscall,TREKKER-M1 CORE,HS8909QC,2147MB,Phone,Qualcomm MSM8909,Qualcomm Adreno 304 (400 MHz),480x854,240,armeabi;armeabi-v7a,23,3.0
Crosscall,Trekker- M1,HS8916QC,1073MB,Phone,Qualcomm MSM8916,Qualcomm Adreno 306 (400 MHz),540x960,240,armeabi;armeabi-v7a,22,3.0
Crosscall,Core- X3,HS8917QC,2147MB,Phone,Qualcomm MSM8917,Qualcomm Adreno 308 (400 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,27,3.0
Crosscall,Action-X3,HS8937QC,3221MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Crosscall,Action-X3,HS8937QCs,3221MB,Phone,Qualcomm MSM8937,Qualcomm Adreno 505 (450 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,25,3.2
Crosscall,TREKKER- X3,HS8952QC,3221MB,Phone,Qualcomm MSM8952,Qualcomm Adreno 405 (550 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,23,3.1
Crosscall,Trekker- X4,HSSDM660QC,3919MB,Phone,Qualcomm SDM660,Qualcomm Adreno 512 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Crosscall,Core-M5,L751,2796MB,Phone,Qualcomm SM6115,Qualcomm Adreno 610 (950 MHz),480x960,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Crosscall,Core-M5,L751_02,2796MB,Phone,Qualcomm SM6115,Qualcomm Adreno 610 (950 MHz),480x960,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Crosscall,Action-X5,L752,3833MB,Phone,Qualcomm SM6115,Qualcomm Adreno 610 (950 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Crosscall,Core-X4,L762,2953MB,Phone,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Crosscall,Core-X5,L771,3814MB,Phone,Qualcomm SM6125,Qualcomm Adreno 610 (950 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Crosscall,Core-T4,L810,2953MB,Tablet,Qualcomm SDM450,Qualcomm Adreno 506 (600 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Crosscall,Core-T5,L820,2766MB,Tablet,Qualcomm SM6125,Qualcomm Adreno 610 (950 MHz),800x1280,213,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Ctroniq,SNOOK-X10,4G_TABLET,1957MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
Ctroniq,CTRONIQ-SNOOK-X10,CTRONIQ-SNOOK-X10,1982MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,240,armeabi;armeabi-v7a,30,3.2
Ctroniq,CTRONIQ-SNOOK-X10L,CTRONIQ-SNOOK-X10L,4053MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),800x1280,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Ctroniq,Ctroniq_Snook_B70,Ctroniq_B70,964MB,Tablet,Mediatek MT8321,未知,600x1024,160,armeabi;armeabi-v7a,28,2.0
Ctroniq,Ctroniq_Snook_W10,Ctroniq_Snook_W10,1072MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),800x1280,160,armeabi;armeabi-v7a,28,2.0
Ctroniq,Ctroniq_Snook_W70,Ctroniq_Snook_W70,1028MB,Tablet,Rockchip RK3126C,ARM Mali 400 (480 MHz),600x1024,160,armeabi;armeabi-v7a,28,2.0
Ctroniq, SNOOK-X10 ,SNOOK-X10,1999MB,Phone,Spreadtrum SC9832E,ARM Mali T820 (680 MHz),800x1280,240,armeabi;armeabi-v7a,29,3.2
Ctroniq,SNOOK-X75 ,SNOOK-X75,1999MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),600x1024,160,armeabi;armeabi-v7a,29,3.2
Ctroniq,SNOOK-X80,SNOOK-X80,1999MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2
Cubot,C20,C20,3998MB,Phone,Mediatek MT6762d,未知,1080x2246,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,C30,C30,8160MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),1080x2310,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,CUBOT_A5,CUBOT_A5,3048MB,Phone,Mediatek MT6753,ARM Mali T720 (700 MHz),1080x1920,480,armeabi;armeabi-v7a,27,3.1
Cubot,CUBOT CHEETAH 2,CUBOT_CHEETAH_2,3059MB,Phone,Mediatek MT6753,ARM Mali T720 (700 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.1
Cubot,ECHO,CUBOT_ECHO,2072MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0
Cubot,CUBOT H3,CUBOT_H3,3102MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,armeabi;armeabi-v7a,24,3.1
Cubot,CUBOT_J3,CUBOT_J3,1004MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x960,240,armeabi;armeabi-v7a,27,2.0
Cubot,CUBOT_J3_PRO,CUBOT_J3_PRO,1073MB,Phone,Mediatek MT6739WA,Imagination Tech PowerVR GE8100 (450 MHz),480x960,240,armeabi;armeabi-v7a,27,3.2
Cubot,CUBOT J9,CUBOT_J9,2058MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1520,320,armeabi;armeabi-v7a,29,2.0
Cubot,CUBOT MAGIC,CUBOT_MAGIC,3102MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,armeabi;armeabi-v7a,24,3.1
Cubot,MANITO,CUBOT_MANITO,3077MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,23,3.0
Cubot,CUBOT NOTE Plus,CUBOT_NOTE_Plus,3073MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),1080x1920,480,armeabi;armeabi-v7a,24,3.1
Cubot,NOTE S,CUBOT_NOTE_S,2072MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0
Cubot,CUBOT_NOVA,CUBOT_NOVA,3038MB,Phone,Mediatek MT6739WW,Imagination Tech PowerVR GE8100 (570 MHz),720x1440,320,armeabi;armeabi-v7a,27,3.2
Cubot,CUBOT_POWER,CUBOT_POWER,6098MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Cubot,CUBOT R11,CUBOT_R11,2030MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,27,2.0
Cubot,CUBOT MAGIC,CUBOT_R9,2069MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Cubot,CUBOT X18,CUBOT_X18,3088MB,Phone,Mediatek MT6737T,ARM Mali T720 (600 MHz),720x1440,320,armeabi;armeabi-v7a,24,3.1
Cubot,J10,J10,958MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x854,240,armeabi;armeabi-v7a,30,3.2
Cubot,J5,J5,2054MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),480x960,240,armeabi;armeabi-v7a,28,2.0
Cubot,J7,J7,2027MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1440,320,armeabi;armeabi-v7a,28,2.0
Cubot,J8,J8,2054MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),442x960,240,armeabi;armeabi-v7a,29,2.0
Cubot,KINGKONG 5,KINGKONG_5,4014MB,Phone,Mediatek MT6762d,未知,720x1560,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,KINGKONG 5 Pro,KINGKONG_5_Pro,4014MB,Phone,Mediatek MT6762d,未知,720x1560,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,KINGKONG 7,KINGKONG_7,8166MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),1080x2300,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,KINGKONG_MINI,KINGKONG_MINI,3003MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),540x1080,240,armeabi;armeabi-v7a,28,3.2
Cubot,KINGKONG MINI2,KINGKONG_MINI2,3007MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),540x1080,240,armeabi;armeabi-v7a,29,3.2
Cubot,KING_KONG_3,KING_KONG_3,4003MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,27,3.2
Cubot,KING KONG CS,KING_KONG_CS,2047MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,29,2.0
Cubot,MAX  2,MAX_2,4294MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),640x1352,240,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,MAX 3,MAX_3,3984MB,Phone,Mediatek MT6762d,未知,720x1640,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,NOTE 20,NOTE_20,2960MB,Phone,Mediatek MT6761D,Imagination Tech PowerVR GE8300 (660 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,NOTE 20 PRO,NOTE_20_PRO,6065MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,NOTE 7,NOTE_7,2022MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),442x960,240,armeabi;armeabi-v7a,29,3.1
Cubot,note_9,NOTE_9,2994MB,Phone,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),480x960,240,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,P30,P30,4020MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,P40,P40,4017MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,P50,P50,6122MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,QUEST,QUEST,3949MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1440,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,QUEST LITE,QUEST_LITE,3221MB,Phone,Mediatek MT6762,Imagination Tech PowerVR GE8320 (650 MHz),720x1280,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,R15,R15,2045MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1520,320,armeabi;armeabi-v7a,28,2.0
Cubot,R15_PRO,R15_PRO,2996MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,armeabi;armeabi-v7a,28,3.2
Cubot,R19,R19,3221MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),720x1520,320,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,Rainbow,RAINBOW,1006MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,23,2.0
Cubot,RAINBOW 2,RAINBOW_2,1004MB,Phone,Mediatek MT6580,ARM Mali 400 (500 MHz),720x1280,320,armeabi;armeabi-v7a,24,2.0
Cubot,TAB 10,TAB_10,4049MB,Tablet,Spreadtrum SC9863A,Imagination Tech PowerVR GE8322 (550 MHz),1200x1920,320,arm64-v8a;armeabi;armeabi-v7a,30,3.2
Cubot,X19,X19,4023MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,X19_S,X19_S,4024MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2160,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,X20,X20,4294MB,Phone,Mediatek MT6763,2 核 ARM Mali G71 (700 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,X20_PRO,X20_PRO,6045MB,Phone,Mediatek MT6737,ARM Mali T720 (550 MHz),1080x2340,480,arm64-v8a;armeabi;armeabi-v7a,28,3.2
Cubot,X30,X30,8159MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),1080x2310,480,arm64-v8a;armeabi;armeabi-v7a,29,3.2
Cubot,X50,X50,8163MB,Phone,Mediatek MT6771,3 核 ARM Mali G72 (800 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2
